,,,100GB,,,,,200GB,,,,,300GB,,,,,1000GB,,,,,2000GB,,,,,3000GB,,,,,4000GB,,,,,5000GB,,,,,6000GB
block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops
131072,12017,11.73535156,0.091682434,,131072,25410,24.81445313,0.193862915,,131072,37598,36.71679688,0.286849976,,131072,121468,118.6210938,0.926727295,,131072,182076,177.8085938,1.389129639,,131072,183558,179.2558594,1.400436401,,131072,183896,179.5859375,1.403015137,,131072,183542,179.2402344,1.400314331,,131072,183993,179.6806641,1.403755188
65536,12012,11.73046875,0.183288574,,65536,25377,24.78222656,0.38722229,,65536,37602,36.72070313,0.573760986,,65536,121377,118.5322266,1.85206604,,65536,182266,177.9941406,2.781158447,,65536,183317,179.0205078,2.797195435,,65536,184025,179.7119141,2.807998657,,65536,184009,179.6962891,2.807754517,,65536,183687,179.3818359,2.802841187
32768,11982,11.70117188,0.365661621,,32768,25329,24.73535156,0.772979736,,32768,37476,36.59765625,1.143676758,,32768,121048,118.2109375,3.694091797,,32768,182187,177.9169922,5.559906006,,32768,182663,178.3818359,5.574432373,,32768,183751,179.4443359,5.607635498,,32768,183639,179.3349609,5.604217529,,32768,183993,179.6806641,5.615020752
16384,11913,11.63378906,0.727111816,,16384,25237,24.64550781,1.540344238,,16384,37352,36.4765625,2.279785156,,16384,118967,116.1787109,7.261169434,,16384,181383,177.1318359,11.07073975,,16384,182790,178.5058594,11.15661621,,16384,183478,179.1777344,11.1986084,,16384,183687,179.3818359,11.21136475,,16384,183414,179.1152344,11.19470215
8192,11797,11.52050781,1.440063477,,8192,25020,24.43359375,3.054199219,,8192,36957,36.09082031,4.511352539,,8192,119509,116.7080078,14.58850098,,8192,180090,175.8691406,21.98364258,,8192,182393,178.1181641,22.26477051,,8192,183013,178.7236328,22.3404541,,8192,182631,178.3505859,22.29382324,,8192,182857,178.5712891,22.32141113
4096,11700,11.42578125,2.856445313,,4096,24759,24.17871094,6.044677734,,4096,36439,35.58496094,8.896240234,,4096,117709,114.9501953,28.73754883,,4096,177468,173.3085938,43.32714844,,4096,180775,176.5380859,44.13452148,,4096,181696,177.4375,44.359375,,4096,181808,177.546875,44.38671875,,4096,181711,177.4521484,44.36303711
2048,11271,11.00683594,5.503417969,,2048,23854,23.29492188,11.64746094,,2048,35284,34.45703125,17.22851563,,2048,113938,111.2675781,55.63378906,,2048,173783,169.7099609,84.85498047,,2048,177163,173.0107422,86.50537109,,2048,179760,175.546875,87.7734375,,2048,179486,175.2792969,87.63964844,,2048,179563,175.3544922,87.67724609
1024,10543,10.29589844,10.29589844,,1024,22326,21.80273438,21.80273438,,1024,33006,32.23242188,32.23242188,,1024,106888,104.3828125,104.3828125,,1024,165398,161.5214844,161.5214844,,1024,171537,167.5166016,167.5166016,,1024,175099,170.9951172,170.9951172,,1024,175550,171.4355469,171.4355469,,1024,175057,170.9541016,170.9541016
512,9370,9.150390625,18.30078125,,512,19831,19.36621094,38.73242188,,512,29417,28.72753906,57.45507813,,512,94487,92.27246094,184.5449219,,512,150896,147.359375,294.71875,,512,161311,157.5302734,315.0605469,,512,166706,162.7988281,325.5976563,,512,166702,162.7949219,325.5898438,,512,166959,163.0458984,326.0917969
